"Player Id","Ign","Team"
5075,"Acelboy","TEAM WAR"
11997,"Acelelelel","Redsharks"
21012,"AceMax","ENDLESS GAMING"
22658,"Acen","Runaway"
14850,"ACEONEFLOW","Zerance"
13645,"Acerola","Fancy United Esports"
15399,"acervus","AD Infinitum REVITALIZE"
1863,"Acetics","Sharper Esports"
7700,"acetwo","ValoTeleTubbies"
20727,"acetwothree","Hidden Element"
20798,"ache","banana boys"
15654,"achilles","Second Chance"
2603,"Achilles","Purple Mood E-Sport"
6782,"Achin0",""
22715,"Achinth","Anime Aimers (IND)"
23015,"ACHRF","Monsters Have Hearts"
25209,"Acid","2inch"
130,"Acid","AD Razgon"
11301,"ACIDKCSGO","Clube Alcateia E-Sports"
6433,"acids","MEW2"
21417,"ackerman","CBDR"
20970,"Ackerman","savage.gg"
1054,"Aclx","K7 Esports"
7908,"acm","SPARX MIX"
6623,"AcMe","Veronica7"
866,"Acnologia","run it down mid"
4363,"aco","Bad Company Esports"
13202,"Aconite","Quimera GG"
21779,"ACON salty","Aconitum"
9896,"Acoric","Team Coxlong"
24407,"acoustic","Boomerz and Zoomers"
7694,"acr0nym","DELUSIONAL 5"
12806,"acra","Evenate Gaming"
5164,"ACrazyPotato","ESPE GANG"
22590,"acrian","afterMath Esports"
23042,"acro","Team ZeN"
8572,"Acronix","Orange Juice Gaming"
8186,"ACROSS","Team Credit"
9248,"Act",""
8721,"Acti","INSOMNIA Female"
2493,"ACTiV","Bald Wheelchair"
1450,"ActiveShooter",""
17767,"AcTivGhostz","ILG JADE"
22668,"AcTivv","Vx"
11599,"Actually",""
12020,"Acuba",""
16385,"acva","NoChance"
12592,"Âcyl","No Org No Pracc"
2000,"AD1","Juntei5"
12978,"Ada","Je t'aime de ouf"
9310,"Ada","Lobos E-sports"
17782,"Adachi",""
21362,"Adada1","Eu e as 4 mulas"
13545,"Adalk033","EAgles upaep"
3813,"adam","Divine"
202,"Adam","VAC Kimchi"
1518,"Adam","Foreigners"
14230,"ADAM","Havik Esports"
14248,"adam9130","Yoooo"
1386,"Adamelo","CZECH REPRE"
4473,"AdamRS","Crowd Pleasers"
14039,"Adams","POISON CLAN"
3244,"AdAption","Janus Licht Esports"
3220,"adawg","Team Pickles"
3221,"adawg 2","Team Pickles"
16789,"adawg 3",""
4143,"Add3r","Knights Academy"
17615,"Adder","Fraggerz"
23111,"adderallADDICT","Spectrum Esports"
24858,"ADDICT","ForteZ Regulus"
1049,"Addicted","Sharks Esports"
18273,"addison","Acacia"
12391,"Addix",""
9351,"addyanner","Team123"
1843,"ade",""
19012,"aDE","KTN"
19120,"Adelajn",""
21782,"Adele","Victoire Angels"
21713,"aden","Asbron.gg"
19334,"Adenina","Movistar Optix Female"
24075,"Adenina","45 do segundo tempo"
9659,"adept","Black Dragon Society"
16748,"AdeptDave","Evolved Gamers"
15808,"Adepth","Vicez"
5716,"Ädestile乡","Kitsune"
7415,"AdeX","Smoke After Game"
21352,"adgez1a","Space Development"
12920,"adhd","Vertigang"
8452,"ADHD1080p","1620 KINGS"
11697,"ADHDhefu","Hyperion"
14752,"ADHEY","Team Oplon"
3410,"adi","Border Monsters"
19408,"Adiamd426","Awang Budiman"
19382,"AdiiDee","2035Batis"
9960,"Adina (deleted)",""
17064,"adm","UndeRank"
7401,"adm1k","UCAM Tokiers"
8996,"admiral","Nabemono Babies"
15956,"Admiral00f","Team Aquiver"
7634,"Adn","HoryJin Blue"
20940,"ADN","Camioneros Valorant Club"
14309,"ADN","Gamer Guy Bath Water"
1503,"adnani",""
16303,"adome","Team Frosty"
871,"adonis","One'd Gaming"
19987,"Adonis (deleted)",""
10967,"ADOUBE","FULLY"
10417,"Adr1nho",""
